"Step","llm_v4_direct_select_pos_1 - total_success","llm_v4_direct_select_pos_1 - total_success__MIN","llm_v4_direct_select_pos_1 - total_success__MAX","llm_v3_pos_neg_dst - total_success","llm_v3_pos_neg_dst - total_success__MIN","llm_v3_pos_neg_dst - total_success__MAX","fbe_baseline - total_success","fbe_baseline - total_success__MIN","fbe_baseline - total_success__MAX","llm_v2_pos_cot - total_success","llm_v2_pos_cot - total_success__MIN","llm_v2_pos_cot - total_success__MAX","l3mvn_baseline_local_step_15 - total_success","l3mvn_baseline_local_step_15 - total_success__MIN","l3mvn_baseline_local_step_15 - total_success__MAX","llm_v1_no_cot_local_step_15 - total_success","llm_v1_no_cot_local_step_15 - total_success__MIN","llm_v1_no_cot_local_step_15 - total_success__MAX","sem_exp_baseline - total_success","sem_exp_baseline - total_success__MIN","sem_exp_baseline - total_success__MAX"
"350","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5","0.5","0.5","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4375","0.4375","0.4375","0.4","0.4","0.4","0.5","0.5","0.5"
"360","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5","0.5","0.5","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.4375","0.4375","0.4375","0.4","0.4","0.4","0.5","0.5","0.5"
"370","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5","0.5","0.5","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.4375","0.4375","0.4375","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5","0.5","0.5"
"380","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.5","0.5","0.5","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5","0.5","0.5"
"390","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5","0.5","0.5"
"400","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5","0.5","0.5"
"410","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5","0.5","0.5"
"420","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"430","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"440","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"450","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"460","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"470","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.35714285714285715","0.35714285714285715","0.35714285714285715","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"480","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.35714285714285715","0.35714285714285715","0.35714285714285715","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"490","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.35714285714285715","0.35714285714285715","0.35714285714285715","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.5","0.5","0.5"
"500","0.35","0.35","0.35","0.4375","0.4375","0.4375","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"510","0.35","0.35","0.35","0.4375","0.4375","0.4375","0.3684210526315789","0.3684210526315789","0.3684210526315789","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"520","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4375","0.4375","0.4375","0.3684210526315789","0.3684210526315789","0.3684210526315789","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"530","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4375","0.4375","0.4375","0.3684210526315789","0.3684210526315789","0.3684210526315789","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.44","0.44","0.44","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"540","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4375","0.4375","0.4375","0.35","0.35","0.35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.44","0.44","0.44","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4666666666666667"
"550","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4375","0.4375","0.4375","0.35","0.35","0.35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.44","0.44","0.44","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4375","0.4375","0.4375"
"560","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.35","0.35","0.35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4230769230769231","0.4230769230769231","0.4230769230769231","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4375","0.4375","0.4375"
"570","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.35","0.35","0.35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4230769230769231","0.4230769230769231","0.4230769230769231","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4117647058823529","0.4117647058823529","0.4117647058823529"
"580","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.35","0.35","0.35","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4444444444444444","0.4444444444444444","0.4444444444444444"
"590","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4444444444444444","0.4444444444444444","0.4444444444444444"
"600","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"610","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.4375","0.4375","0.4375","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.4482758620689655","0.4482758620689655","0.4482758620689655","0.4375","0.4375","0.4375","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"620","0.48","0.48","0.48","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.4482758620689655","0.4482758620689655","0.4482758620689655","0.4375","0.4375","0.4375","0.45","0.45","0.45"
"630","0.48","0.48","0.48","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.43333333333333335","0.43333333333333335","0.43333333333333335","0.4375","0.4375","0.4375","0.45","0.45","0.45"
"640","0.48","0.48","0.48","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.43333333333333335","0.43333333333333335","0.43333333333333335","0.4375","0.4375","0.4375","0.45","0.45","0.45"
"650","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"660","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.35","0.35","0.35","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4375","0.4375","0.4375","0.4090909090909091","0.4090909090909091","0.4090909090909091"
"670","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.35","0.35","0.35","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4375","0.4375","0.4375","0.391304347826087","0.391304347826087","0.391304347826087"
"680","0.5","0.5","0.5","0.4375","0.4375","0.4375","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.35","0.35","0.35","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087"
"690","0.5172413793103449","0.5172413793103449","0.5172413793103449","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087","0.35","0.35","0.35","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087"
"700","0.5172413793103449","0.5172413793103449","0.5172413793103449","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087","0.35","0.35","0.35","0.4857142857142857","0.4857142857142857","0.4857142857142857","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087"
"710","0.5","0.5","0.5","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087","0.35","0.35","0.35","0.4857142857142857","0.4857142857142857","0.4857142857142857","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087"
"720","0.5161290322580645","0.5161290322580645","0.5161290322580645","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4857142857142857","0.4857142857142857","0.4857142857142857","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.391304347826087","0.391304347826087","0.391304347826087"
"730","0.5161290322580645","0.5161290322580645","0.5161290322580645","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087","0.4090909090909091","0.4090909090909091","0.4090909090909091","0.4857142857142857","0.4857142857142857","0.4857142857142857","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087"
"740","0.53125","0.53125","0.53125","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.4722222222222222","0.4722222222222222","0.4722222222222222","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087"
"750","0.53125","0.53125","0.53125","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.391304347826087","0.4864864864864865","0.4864864864864865","0.4864864864864865","0.47368421052631576","0.47368421052631576","0.47368421052631576","0.391304347826087","0.391304347826087","0.391304347826087"
